year,period,value,month,date
1980,1,233.2,January,January 1980
1980,2,236.4,February,February 1980
1980,3,239.8,March,March 1980
1980,4,242.5,April,April 1980
1980,5,244.9,May,May 1980
1980,6,247.6,June,June 1980
1980,7,247.8,July,July 1980
1980,8,249.4,August,August 1980
1980,9,251.7,September,September 1980
1980,10,253.9,October,October 1980
1980,11,256.2,November,November 1980
1980,12,258.4,December,December 1980
1981,1,260.5,January,January 1981
1981,2,263.2,February,February 1981
1981,3,265.1,March,March 1981
1981,4,266.8,April,April 1981
1981,5,269.0,May,May 1981
1981,6,271.3,June,June 1981
1981,7,274.4,July,July 1981
1981,8,276.5,August,August 1981
1981,9,279.3,September,September 1981
1981,10,279.9,October,October 1981
1981,11,280.7,November,November 1981
1981,12,281.5,December,December 1981
1982,1,282.5,January,January 1982
1982,2,283.4,February,February 1982
1982,3,283.1,March,March 1982
1982,4,284.3,April,April 1982
1982,5,287.1,May,May 1982
1982,6,290.6,June,June 1982
1982,7,292.2,July,July 1982
1982,8,292.8,August,August 1982
1982,9,293.3,September,September 1982
1982,10,294.1,October,October 1982
1982,11,293.6,November,November 1982
1982,12,292.4,December,December 1982
1983,1,293.1,January,January 1983
1983,2,293.2,February,February 1983
1983,3,293.4,March,March 1983
1983,4,295.5,April,April 1983
1983,5,297.1,May,May 1983
1983,6,298.1,June,June 1983
1983,7,299.3,July,July 1983
1983,8,300.3,August,August 1983
1983,9,301.8,September,September 1983
1983,10,302.6,October,October 1983
1983,11,303.1,November,November 1983
1983,12,303.5,December,December 1983
1984,1,305.2,January,January 1984
1984,2,306.6,February,February 1984
1984,3,307.3,March,March 1984
1984,4,308.8,April,April 1984
1984,5,309.7,May,May 1984
1984,6,310.7,June,June 1984
1984,7,311.7,July,July 1984
1984,8,313.0,August,August 1984
1984,9,314.5,September,September 1984
1984,10,315.3,October,October 1984
1984,11,315.3,November,November 1984
1984,12,315.5,December,December 1984
1985,1,316.1,January,January 1985
1985,2,317.4,February,February 1985
1985,3,318.8,March,March 1985
1985,4,320.1,April,April 1985
1985,5,321.3,May,May 1985
1985,6,322.3,June,June 1985
1985,7,322.8,July,July 1985
1985,8,323.5,August,August 1985
1985,9,324.5,September,September 1985
1985,10,325.5,October,October 1985
1985,11,326.6,November,November 1985
1985,12,327.4,December,December 1985
1986,1,328.4,January,January 1986
1986,2,327.5,February,February 1986
1986,3,326.0,March,March 1986
1986,4,325.3,April,April 1986
1986,5,326.3,May,May 1986
1986,6,327.9,June,June 1986
1986,7,328.0,July,July 1986
1986,8,328.6,August,August 1986
1986,9,330.2,September,September 1986
1986,10,330.5,October,October 1986
1986,11,330.8,November,November 1986
1986,12,331.1,December,December 1986
1987,1,333.1,January,January 1987
1987,2,334.4,February,February 1987
1987,3,335.9,March,March 1987
1987,4,337.7,April,April 1987
1987,5,338.7,May,May 1987
1987,6,340.1,June,June 1987
1987,7,340.8,July,July 1987
1987,8,342.7,August,August 1987
1987,9,344.4,September,September 1987
1987,10,345.3,October,October 1987
1987,11,345.8,November,November 1987
1987,12,345.7,December,December 1987
1988,1,346.7,January,January 1988
1988,2,347.4,February,February 1988
1988,3,349.0,March,March 1988
1988,4,350.8,April,April 1988
1988,5,352.0,May,May 1988
1988,6,353.5,June,June 1988
1988,7,354.9,July,July 1988
1988,8,356.6,August,August 1988
1988,9,358.9,September,September 1988
1988,10,360.1,October,October 1988
1988,11,360.5,November,November 1988
1988,12,360.9,December,December 1988
1989,1,362.7,January,January 1989
1989,2,364.1,February,February 1989
1989,3,366.2,March,March 1989
1989,4,368.8,April,April 1989
1989,5,370.8,May,May 1989
1989,6,371.7,June,June 1989
1989,7,372.7,July,July 1989
1989,8,373.1,August,August 1989
1989,9,374.6,September,September 1989
