year,period,value,month,date
1980,1,78.1,January,January 1980
1980,2,82.1,February,February 1980
1980,3,84.6,March,March 1980
1980,4,85.5,April,April 1980
1980,5,86.5,May,May 1980
1980,6,87.6,June,June 1980
1980,7,88.3,July,July 1980
1980,8,88.3,August,August 1980
1980,9,88.2,September,September 1980
1980,10,87.7,October,October 1980
1980,11,87.2,November,November 1980
1980,12,88.3,December,December 1980
1981,1,91.0,January,January 1981
1981,2,95.6,February,February 1981
1981,3,97.5,March,March 1981
1981,4,97.7,April,April 1981
1981,5,98.0,May,May 1981
1981,6,98.7,June,June 1981
1981,7,99.1,July,July 1981
1981,8,99.2,August,August 1981
1981,9,99.4,September,September 1981
1981,10,98.9,October,October 1981
1981,11,98.7,November,November 1981
1981,12,98.8,December,December 1981
1982,1,99.2,January,January 1982
1982,2,98.4,February,February 1982
1982,3,96.8,March,March 1982
1982,4,94.3,April,April 1982
1982,5,95.8,May,May 1982
1982,6,99.7,June,June 1982
1982,7,101.2,July,July 1982
1982,8,101.2,August,August 1982
1982,9,101.1,September,September 1982
1982,10,101.3,October,October 1982
1982,11,100.7,November,November 1982
1982,12,100.1,December,December 1982
1983,1,98.8,January,January 1983
1983,2,96.9,February,February 1983
1983,3,95.3,March,March 1983
1983,4,97.7,April,April 1983
1983,5,100.4,May,May 1983
1983,6,101.8,June,June 1983
1983,7,102.5,July,July 1983
1983,8,102.4,August,August 1983
1983,9,102.3,September,September 1983
1983,10,101.3,October,October 1983
1983,11,100.1,November,November 1983
1983,12,99.6,December,December 1983
1984,1,99.3,January,January 1984
1984,2,100.1,February,February 1984
1984,3,99.6,March,March 1984
1984,4,100.4,April,April 1984
1984,5,101.5,May,May 1984
1984,6,102.1,June,June 1984
1984,7,102.1,July,July 1984
1984,8,101.8,August,August 1984
1984,9,102.2,September,September 1984
1984,10,101.7,October,October 1984
1984,11,100.5,November,November 1984
1984,12,99.8,December,December 1984
1985,1,98.8,January,January 1985
1985,2,98.0,February,February 1985
1985,3,99.3,March,March 1985
1985,4,101.1,April,April 1985
1985,5,102.9,May,May 1985
1985,6,104.1,June,June 1985
1985,7,104.2,July,July 1985
1985,8,103.4,August,August 1985
1985,9,103.1,September,September 1985
1985,10,101.8,October,October 1985
1985,11,101.3,November,November 1985
1985,12,101.6,December,December 1985
1986,1,101.2,January,January 1986
1986,2,97.4,February,February 1986
1986,3,90.9,March,March 1986
1986,4,86.2,April,April 1986
1986,5,87.6,May,May 1986
1986,6,90.7,June,June 1986
1986,7,87.3,July,July 1986
1986,8,85.5,August,August 1986
1986,9,85.9,September,September 1986
1986,10,83.1,October,October 1986
1986,11,81.4,November,November 1986
1986,12,81.6,December,December 1986
1987,1,83.9,January,January 1987
1987,2,85.6,February,February 1987
1987,3,85.8,March,March 1987
1987,4,86.4,April,April 1987
1987,5,87.4,May,May 1987
1987,6,90.7,June,June 1987
