year,period,value,month,date
1980,1,77.0,January,January 1980
1980,2,77.8,February,February 1980
1980,3,78.6,March,March 1980
1980,4,79.3,April,April 1980
1980,5,79.8,May,May 1980
1980,6,80.2,June,June 1980
1980,7,80.6,July,July 1980
1980,8,81.2,August,August 1980
1980,9,82.4,September,September 1980
1980,10,82.9,October,October 1980
1980,11,83.7,November,November 1980
1980,12,84.1,December,December 1980
1981,1,84.5,January,January 1981
1981,2,85.1,February,February 1981
1981,3,85.7,March,March 1981
1981,4,86.4,April,April 1981
1981,5,87.2,May,May 1981
1981,6,87.8,June,June 1981
1981,7,88.5,July,July 1981
1981,8,89.3,August,August 1981
1981,9,90.3,September,September 1981
1981,10,91.0,October,October 1981
1981,11,91.7,November,November 1981
1981,12,92.0,December,December 1981
1982,1,92.2,January,January 1982
1982,2,92.6,February,February 1982
1982,3,93.2,March,March 1982
1982,4,93.9,April,April 1982
1982,5,94.3,May,May 1982
1982,6,94.9,June,June 1982
1982,7,95.3,July,July 1982
1982,8,95.7,August,August 1982
1982,9,96.4,September,September 1982
1982,10,97.0,October,October 1982
1982,11,97.3,November,November 1982
1982,12,97.6,December,December 1982
1983,1,97.8,January,January 1983
1983,2,98.2,February,February 1983
1983,3,98.5,March,March 1983
1983,4,98.9,April,April 1983
1983,5,99.1,May,May 1983
1983,6,99.4,June,June 1983
1983,7,99.8,July,July 1983
1983,8,100.4,August,August 1983
1983,9,101.2,September,September 1983
1983,10,101.8,October,October 1983
1983,11,102.3,November,November 1983
1983,12,102.5,December,December 1983
1984,1,102.8,January,January 1984
1984,2,103.1,February,February 1984
1984,3,103.5,March,March 1984
1984,4,104.0,April,April 1984
1984,5,104.4,May,May 1984
1984,6,104.7,June,June 1984
1984,7,104.9,July,July 1984
1984,8,105.4,August,August 1984
1984,9,106.2,September,September 1984
1984,10,106.7,October,October 1984
1984,11,106.9,November,November 1984
1984,12,106.9,December,December 1984
1985,1,107.1,January,January 1985
1985,2,107.7,February,February 1985
1985,3,108.2,March,March 1985
1985,4,108.5,April,April 1985
1985,5,108.5,May,May 1985
1985,6,108.6,June,June 1985
1985,7,108.7,July,July 1985
1985,8,109.0,August,August 1985
1985,9,109.6,September,September 1985
1985,10,110.3,October,October 1985
1985,11,110.8,November,November 1985
1985,12,110.9,December,December 1985
1986,1,111.1,January,January 1986
1986,2,111.4,February,February 1986
1986,3,111.7,March,March 1986
1986,4,111.9,April,April 1986
1986,5,112.0,May,May 1986
1986,6,112.2,June,June 1986
1986,7,112.5,July,July 1986
1986,8,112.8,August,August 1986
1986,9,113.5,September,September 1986
1986,10,114.1,October,October 1986
1986,11,114.5,November,November 1986
1986,12,114.6,December,December 1986
1987,1,114.7,January,January 1987
1987,2,114.9,February,February 1987
1987,3,115.7,March,March 1987
1987,4,116.3,April,April 1987
1987,5,116.5,May,May 1987
1987,6,116.5,June,June 1987
1987,7,116.6,July,July 1987
1987,8,117.1,August,August 1987
1987,9,118.1,September,September 1987
1987,10,118.9,October,October 1987
1987,11,119.3,November,November 1987
1987,12,119.0,December,December 1987
1988,1,119.1,January,January 1988
1988,2,119.4,February,February 1988
1988,3,120.3,March,March 1988
1988,4,121.0,April,April 1988
1988,5,121.3,May,May 1988
1988,6,121.4,June,June 1988
1988,7,121.5,July,July 1988
1988,8,121.8,August,August 1988
1988,9,123.2,September,September 1988
1988,10,124.2,October,October 1988
1988,11,124.5,November,November 1988
1988,12,124.6,December,December 1988
1989,1,125.0,January,January 1989
1989,2,125.5,February,February 1989
1989,3,126.1,March,March 1989
1989,4,126.6,April,April 1989
1989,5,126.9,May,May 1989
1989,6,126.9,June,June 1989
1989,7,126.9,July,July 1989
1989,8,127.1,August,August 1989
1989,9,128.3,September,September 1989
1989,10,129.2,October,October 1989
1989,11,129.7,November,November 1989
1989,12,129.7,December,December 1989
1990,1,130.1,January,January 1990
1990,2,131.2,February,February 1990
1990,3,132.2,March,March 1990
1990,4,132.6,April,April 1990
1990,5,132.8,May,May 1990
1990,6,132.8,June,June 1990
1990,7,133.0,July,July 1990
1990,8,133.6,August,August 1990
1990,9,134.9,September,September 1990
1990,10,135.9,October,October 1990
1990,11,136.3,November,November 1990
1990,12,136.5,December,December 1990
1991,1,137.3,January,January 1991
1991,2,138.5,February,February 1991
1991,3,139.2,March,March 1991
1991,4,139.4,April,April 1991
1991,5,139.7,May,May 1991
1991,6,139.6,June,June 1991
1991,7,139.9,July,July 1991
1991,8,140.7,August,August 1991
1991,9,141.8,September,September 1991
1991,10,142.4,October,October 1991
1991,11,143.0,November,November 1991
1991,12,142.8,December,December 1991
1992,1,143.1,January,January 1992
1992,2,143.9,February,February 1992
1992,3,144.8,March,March 1992
1992,4,145.2,April,April 1992
1992,5,145.4,May,May 1992
1992,6,145.1,June,June 1992
1992,7,145.3,July,July 1992
1992,8,145.8,August,August 1992
1992,9,146.6,September,September 1992
1992,10,147.7,October,October 1992
1992,11,148.2,November,November 1992
1992,12,148.0,December,December 1992
