year,period,value,month,date
1980,2,78.5,February,February 1980
1980,4,80.6,April,April 1980
1980,6,82.2,June,June 1980
1980,8,82.7,August,August 1980
1980,10,84.2,October,October 1980
1980,12,85.8,December,December 1980
1981,2,87.8,February,February 1981
1981,4,89.0,April,April 1981
1981,6,90.4,June,June 1981
1981,8,91.9,August,August 1981
1981,10,93.0,October,October 1981
1981,12,94.3,December,December 1981
1982,2,95.1,February,February 1982
1982,4,94.7,April,April 1982
1982,6,97.0,June,June 1982
1982,8,97.6,August,August 1982
1982,10,98.0,October,October 1982
1982,12,97.8,December,December 1982
1983,2,98.0,February,February 1983
1983,4,98.8,April,April 1983
1983,6,99.6,June,June 1983
1983,8,100.2,August,August 1983
1983,10,101.2,October,October 1983
1983,12,101.3,December,December 1983
1984,2,102.4,February,February 1984
1984,4,103.1,April,April 1984
1984,6,103.6,June,June 1984
1984,8,104.3,August,August 1984
1984,10,105.1,October,October 1984
1984,12,105.3,December,December 1984
1985,2,105.7,February,February 1985
1985,4,106.4,April,April 1985
1985,6,107.1,June,June 1985
1985,8,107.6,August,August 1985
1985,10,108.3,October,October 1985
1985,12,108.7,December,December 1985
1986,2,108.9,February,February 1986
1986,4,107.9,April,April 1986
1986,6,108.7,June,June 1986
1986,8,108.7,August,August 1986
1986,10,109.4,October,October 1986
1986,12,109.7,December,December 1986
1987,1,110.2,January,January 1987
1987,2,110.7,February,February 1987
1987,3,111.1,March,March 1987
1987,4,111.5,April,April 1987
1987,5,111.8,May,May 1987
1987,6,112.2,June,June 1987
1987,7,112.6,July,July 1987
1987,8,112.9,August,August 1987
1987,9,113.5,September,September 1987
1987,10,113.8,October,October 1987
1987,11,114.1,November,November 1987
1987,12,114.0,December,December 1987
1988,1,114.1,January,January 1988
1988,2,114.4,February,February 1988
1988,3,114.8,March,March 1988
1988,4,115.4,April,April 1988
1988,5,115.6,May,May 1988
1988,6,116.1,June,June 1988
1988,7,116.6,July,July 1988
1988,8,117.0,August,August 1988
1988,9,117.7,September,September 1988
1988,10,118.2,October,October 1988
1988,11,118.3,November,November 1988
1988,12,118.5,December,December 1988
1989,1,118.9,January,January 1989
1989,2,119.2,February,February 1989
1989,3,119.8,March,March 1989
1989,4,120.8,April,April 1989
1989,5,121.3,May,May 1989
1989,6,121.7,June,June 1989
1989,7,122.0,July,July 1989
1989,8,122.1,August,August 1989
1989,9,122.5,September,September 1989
1989,10,123.0,October,October 1989
1989,11,123.2,November,November 1989
1989,12,123.4,December,December 1989
1990,1,124.6,January,January 1990
1990,2,125.4,February,February 1990
1990,3,126.0,March,March 1990
1990,4,126.1,April,April 1990
1990,5,126.5,May,May 1990
1990,6,127.3,June,June 1990
1990,7,127.8,July,July 1990
1990,8,128.7,August,August 1990
1990,9,129.7,September,September 1990
1990,10,130.7,October,October 1990
1990,11,130.9,November,November 1990
1990,12,130.9,December,December 1990
1991,1,131.4,January,January 1991
1991,2,131.7,February,February 1991
1991,3,131.9,March,March 1991
1991,4,132.1,April,April 1991
1991,5,132.5,May,May 1991
1991,6,132.8,June,June 1991
1991,7,133.0,July,July 1991
1991,8,133.3,August,August 1991
1991,9,133.8,September,September 1991
1991,10,134.1,October,October 1991
1991,11,134.4,November,November 1991
1991,12,134.3,December,December 1991
1993,1,138.4,January,January 1993
1993,2,139.1,February,February 1993
1993,3,139.7,March,March 1993
1993,4,140.2,April,April 1993
1993,5,140.7,May,May 1993
1993,6,140.8,June,June 1993
1993,7,140.9,July,July 1993
1993,8,141.5,August,August 1993
1993,9,141.6,September,September 1993
1993,10,142.2,October,October 1993
1993,11,142.3,November,November 1993
1993,12,142.2,December,December 1993
1994,1,142.5,January,January 1994
1994,2,142.9,February,February 1994
1994,3,143.6,March,March 1994
1994,4,143.8,April,April 1994
1994,5,144.3,May,May 1994
1994,6,144.7,June,June 1994
1994,7,145.0,July,July 1994
1994,8,145.5,August,August 1994
1994,9,145.8,September,September 1994
1994,10,145.9,October,October 1994
1994,11,146.0,November,November 1994
1994,12,146.1,December,December 1994
1995,1,146.7,January,January 1995
1995,2,147.4,February,February 1995
1995,3,148.0,March,March 1995
1995,4,148.4,April,April 1995
1995,5,148.8,May,May 1995
1995,6,149.1,June,June 1995
1995,7,149.2,July,July 1995
1995,8,149.7,August,August 1995
1995,9,149.8,September,September 1995
1995,10,150.5,October,October 1995
1995,11,150.4,November,November 1995
1995,12,150.3,December,December 1995
1996,1,151.1,January,January 1996
1996,2,151.5,February,February 1996
1996,3,152.4,March,March 1996
1996,4,153.2,April,April 1996
1996,5,153.5,May,May 1996
1996,6,154.0,June,June 1996
1996,7,154.0,July,July 1996
1996,8,154.1,August,August 1996
1996,9,154.5,September,September 1996
1996,10,154.9,October,October 1996
1996,11,155.1,November,November 1996
1996,12,155.1,December,December 1996
1997,1,155.7,January,January 1997
1997,2,156.1,February,February 1997
1997,3,156.5,March,March 1997
1997,4,156.7,April,April 1997
1997,5,156.6,May,May 1997
1997,6,157.0,June,June 1997
1997,7,157.0,July,July 1997
1997,8,157.1,August,August 1997
1997,9,157.5,September,September 1997
1997,10,157.8,October,October 1997
1997,11,157.8,November,November 1997
1997,12,157.3,December,December 1997
1998,1,157.6,January,January 1998
1998,2,157.8,February,February 1998
1998,3,158.2,March,March 1998
1998,4,158.5,April,April 1998
1998,5,158.8,May,May 1998
1998,6,159.1,June,June 1998
1998,7,159.3,July,July 1998
1998,8,159.5,August,August 1998
1998,9,159.5,September,September 1998
1998,10,159.8,October,October 1998
1998,11,159.6,November,November 1998
1998,12,159.6,December,December 1998
1999,1,159.9,January,January 1999
1999,2,160.0,February,February 1999
1999,3,160.6,March,March 1999
1999,4,161.5,April,April 1999
1999,5,161.6,May,May 1999
1999,6,161.7,June,June 1999
1999,7,162.2,July,July 1999
1999,8,162.6,August,August 1999
1999,9,163.2,September,September 1999
1999,10,163.6,October,October 1999
1999,11,163.5,November,November 1999
1999,12,163.6,December,December 1999
2000,1,164.1,January,January 2000
2000,2,164.8,February,February 2000
2000,3,166.5,March,March 2000
2000,4,166.7,April,April 2000
2000,5,166.7,May,May 2000
2000,6,167.5,June,June 2000
2000,7,168.0,July,July 2000
2000,8,168.0,August,August 2000
2000,9,168.5,September,September 2000
2000,10,168.5,October,October 2000
2000,11,168.6,November,November 2000
2000,12,168.4,December,December 2000
2001,1,169.3,January,January 2001
2001,2,170.2,February,February 2001
2001,3,170.6,March,March 2001
2001,4,171.4,April,April 2001
2001,5,171.7,May,May 2001
2001,6,172.2,June,June 2001
2001,7,171.6,July,July 2001
2001,8,171.5,August,August 2001
2001,9,172.2,September,September 2001
2001,10,171.7,October,October 2001
2001,11,171.0,November,November 2001
2001,12,170.3,December,December 2001
2002,1,170.6,January,January 2002
2002,2,171.0,February,February 2002
2002,3,172.1,March,March 2002
2002,4,173.1,April,April 2002
2002,5,173.2,May,May 2002
2002,6,173.5,June,June 2002
2002,7,173.6,July,July 2002
2002,8,173.8,August,August 2002
2002,9,174.2,September,September 2002
2002,10,174.9,October,October 2002
2002,11,174.9,November,November 2002
2002,12,174.6,December,December 2002
2004,1,178.2,January,January 2004
2004,2,179.1,February,February 2004
2004,3,180.1,March,March 2004
2004,4,180.9,April,April 2004
2004,5,182.0,May,May 2004
2004,6,182.9,June,June 2004
2004,7,182.6,July,July 2004
2004,8,182.6,August,August 2004
2004,9,182.8,September,September 2004
2004,10,183.7,October,October 2004
2004,11,183.7,November,November 2004
2004,12,183.3,December,December 2004
2005,1,183.6,January,January 2005
2005,2,184.7,February,February 2005
2005,3,185.9,March,March 2005
2005,4,187.3,April,April 2005
2005,5,187.3,May,May 2005
2005,6,187.8,June,June 2005
2005,7,188.5,July,July 2005
2005,8,189.4,August,August 2005
2005,9,192.0,September,September 2005
2005,10,192.5,October,October 2005
2005,11,190.7,November,November 2005
2005,12,190.1,December,December 2005
2006,1,191.5,January,January 2006
2006,2,191.8,February,February 2006
2006,3,192.8,March,March 2006
2006,4,194.7,April,April 2006
2006,5,195.5,May,May 2006
2006,6,196.3,June,June 2006
2006,7,197.0,July,July 2006
2006,8,197.1,August,August 2006
2006,9,195.8,September,September 2006
2006,10,194.7,October,October 2006
2006,11,194.3,November,November 2006
2006,12,194.8,December,December 2006
2007,1,195.021,January,January 2007
2007,2,195.95,February,February 2007
2007,3,197.904,March,March 2007
2007,4,199.618,April,April 2007
2007,5,200.804,May,May 2007
2007,6,201.675,June,June 2007
2007,7,201.571,July,July 2007
2007,8,201.041,August,August 2007
2007,9,201.697,September,September 2007
2007,10,202.155,October,October 2007
2007,11,203.437,November,November 2007
2007,12,203.457,December,December 2007
2008,1,204.51,January,January 2008
2008,2,205.06,February,February 2008
2008,3,206.676,March,March 2008
2008,4,208.085,April,April 2008
2008,5,210.006,May,May 2008
2008,6,212.324,June,June 2008
2008,7,213.304,July,July 2008
2008,8,212.387,August,August 2008
2008,9,212.65,September,September 2008
2008,10,210.108,October,October 2008
2008,11,205.559,November,November 2008
2008,12,203.501,December,December 2008
2009,1,204.288,January,January 2009
2009,2,205.343,February,February 2009
2009,3,206.001,March,March 2009
2009,4,206.657,April,April 2009
